,goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
82,1,0,0,8,34.78,0,0.0,4,0,60.38,8,30.77,250,2,1,5,8,0,0,0,7,3,0,0,0,0,18,0,32,2,0,0.0,2,40.0,4,0,1,1,7,3,1,14.29,0,0,0.0,0,0,0,Ebony Salmon,Aston Villa WFC
83,0,1,0,23,52.27,4,50.0,1,0,78.55,27,51.92,626,4,3,6,8,0,0,0,13,3,0,0,0,0,63,0,238,2,4,28.57,11,47.83,10,15,7,0,1,1,0,0.0,0,0,0.0,0,0,0,Sarah Mayling,Aston Villa WFC
84,1,0,0,1,20.0,0,0.0,0,0,64.0,1,10.0,89,0,0,2,3,0,0,0,0,0,0,0,0,0,5,0,16,0,0,0.0,0,0.0,1,0,0,0,1,1,0,100.0,0,0,0.0,0,0,0,Miri Taylor,Liverpool FC Women
85,0,1,0,11,61.11,2,66.67,1,0,84.02,13,61.9,266,2,4,2,6,0,0,0,6,0,0,0,0,0,17,0,142,3,0,0.0,6,37.5,1,4,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Karen Holmgaard,Everton Women
86,0,0,0,21,48.84,1,20.0,2,0,78.86,22,45.83,452,4,3,12,7,0,0,0,10,2,0,0,0,0,33,0,138,4,1,100.0,3,60.0,5,0,4,0,3,0,1,0.0,0,1,0.0,0,0,0,Laura Blindkilde,Aston Villa WFC
87,0,1,0,1,33.33,0,0.0,0,0,58.33,1,20.0,37,0,2,0,4,0,0,0,0,0,0,0,0,0,2,0,7,1,0,0.0,0,0.0,1,0,0,0,2,0,1,0.0,0,0,0.0,0,0,0,Sofie Lundgaard,Liverpool FC Women
88,0,0,0,7,38.89,1,25.0,0,0,82.86,8,36.36,129,1,0,9,4,0,0,0,2,0,0,0,0,0,19,0,58,1,0,0.0,2,40.0,2,1,2,0,1,0,1,0.0,0,0,0.0,0,0,0,Julie Blakstad,Manchester City W.F.C.
89,0,0,0,7,41.18,2,66.67,0,0,62.86,9,45.0,130,1,1,4,4,0,0,0,1,1,0,0,0,0,7,0,22,3,1,16.67,0,0.0,2,1,1,0,2,1,1,0.0,0,0,0.0,0,0,0,Simone Magill,Aston Villa WFC
90,0,0,0,13,65.0,0,0.0,4,0,75.41,13,59.09,124,1,1,0,5,0,0,0,3,0,0,0,0,0,17,0,46,0,0,0.0,0,0.0,0,7,3,0,0,0,0,0.0,0,0,0.0,0,0,0,Kerstin Yasmijn Casparij,Manchester City W.F.C.
91,0,0,0,9,37.5,0,0.0,0,0,82.93,9,36.0,218,4,3,4,6,0,0,0,7,0,0,0,0,0,11,0,34,1,0,0.0,0,0.0,0,1,5,0,6,2,1,0.0,0,0,0.0,0,0,0,Alisha Lehmann,Aston Villa WFC
92,0,2,0,19,55.88,6,40.0,3,0,71.76,25,51.02,429,5,6,5,7,0,0,0,13,1,0,0,0,0,21,0,155,4,0,0.0,7,23.33,17,15,3,0,1,0,0,0.0,0,0,0.0,0,2,0,Julie Thibaud,Leicester City WFC
93,1,1,0,28,45.9,6,31.58,4,0,73.0,34,42.5,676,3,11,13,8,0,0,0,15,6,0,0,0,0,30,0,146,7,1,33.33,5,33.33,9,9,6,0,6,2,3,16.67,0,0,0.0,0,0,0,Amy Rodgers,Bristol City WFC
94,0,1,0,11,39.29,5,35.71,1,0,72.44,16,38.1,700,2,6,6,8,0,0,0,17,1,0,0,0,0,60,0,205,10,6,31.58,10,31.25,13,16,3,0,4,2,1,0.0,0,0,0.0,1,0,0,Courtney Nevin,Leicester City WFC
95,0,1,0,14,40.0,2,33.33,6,1,78.79,16,39.02,106,1,2,9,6,0,0,0,5,1,0,0,0,0,11,0,26,2,2,22.22,0,0.0,0,1,6,0,3,1,0,0.0,0,0,0.0,0,0,0,Veatriki Sarri,Brighton
96,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,2,0,0,0,0,0,0.0,0,0,,0,0,0,Jess Simpson,Bristol City WFC
97,0,0,0,1,33.33,1,33.33,0,0,93.1,2,33.33,57,1,0,2,2,0,0,0,1,0,0,0,0,0,2,0,54,0,0,0.0,4,80.0,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kadeisha Buchanan,Chelsea FC Women
98,0,0,0,3,60.0,0,0.0,0,0,40.0,3,60.0,31,2,1,1,3,0,0,0,0,0,0,0,0,0,1,0,2,1,2,100.0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Megan Campbell,Everton Women
99,0,1,0,7,33.33,1,100.0,2,0,72.5,8,36.36,153,2,3,5,6,0,0,0,6,0,0,0,0,0,12,0,29,0,0,0.0,0,0.0,0,0,3,0,5,2,1,0.0,0,0,0.0,0,0,0,Isibeal Atkinson,West Ham Women
0,0,2,0,21,56.76,0,0.0,2,1,72.41,21,52.5,695,3,9,7,8,0,0,0,16,6,0,0,0,0,18,0,147,5,5,19.23,25,43.1,6,26,2,0,0,0,0,0.0,0,0,0.0,0,0,0,Megan Connolly,Bristol City WFC
1,0,0,0,18,52.94,3,42.86,1,0,71.69,21,51.22,659,2,3,5,8,0,0,0,14,3,0,0,0,0,37,0,195,0,2,28.57,10,40.0,10,11,4,0,1,1,0,0.0,0,0,0.0,0,0,0,Emma Kullberg,Brighton
2,0,0,0,4,30.77,1,100.0,1,1,61.36,5,35.71,174,0,1,5,6,0,0,0,3,0,0,0,0,0,8,0,27,3,1,50.0,2,66.67,0,2,1,0,1,1,0,0.0,0,1,0.0,0,0,0,Deanne Rose,Leicester City WFC
3,1,2,0,38,47.5,3,23.08,8,0,66.43,41,44.09,656,9,11,14,8,0,0,0,16,6,0,0,0,0,28,0,95,3,0,0.0,3,23.08,5,2,5,1,7,3,2,14.29,0,0,0.0,0,0,0,Carrie Jones,Bristol City WFC
4,0,0,0,11,57.89,5,50.0,1,0,87.03,16,55.17,675,2,2,3,8,0,0,0,15,0,0,0,0,0,21,0,436,0,0,0.0,15,42.86,8,18,3,0,2,1,1,0.0,0,0,0.0,0,0,0,Luana Bühler,Tottenham FC Women
5,0,1,0,9,32.14,1,100.0,0,0,81.98,10,34.48,450,4,10,3,6,0,0,0,11,2,0,0,0,0,27,0,141,2,0,0.0,5,45.45,12,5,4,0,1,0,0,0.0,1,0,0.0,0,0,0,Abbey-Leigh Stringer,West Ham Women
6,1,2,0,7,53.85,8,66.67,0,0,73.89,15,60.0,610,2,6,0,8,0,0,0,15,5,0,0,0,0,9,0,116,1,1,100.0,9,31.03,12,21,0,0,3,1,0,33.33,0,0,0.0,0,0,0,Brooke Aspin,Bristol City WFC
7,0,0,0,1,50.0,0,0.0,0,0,81.82,1,50.0,30,1,0,1,2,0,0,0,1,0,0,0,0,0,5,0,18,1,1,100.0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ruby Mace,Manchester City W.F.C.
8,0,0,0,2,50.0,0,0.0,0,0,75.0,2,50.0,26,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Princess Ademiluyi,West Ham Women
9,0,0,0,6,54.55,1,33.33,2,0,74.68,7,50.0,156,2,3,1,4,0,0,0,2,0,0,0,0,0,6,0,59,1,0,0.0,5,50.0,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jasmine Matthews,Liverpool FC Women
10,0,1,0,5,38.46,1,50.0,0,0,75.41,6,40.0,322,2,3,3,7,0,0,0,8,2,0,0,0,0,31,0,92,1,1,16.67,7,63.64,2,3,1,0,3,1,2,0.0,0,0,0.0,0,0,0,Melisa Filis,West Ham Women
11,0,1,0,15,45.45,4,30.77,0,0,62.68,19,41.3,360,3,5,4,5,0,0,0,9,2,0,0,0,0,14,0,89,0,0,0.0,6,28.57,8,22,7,0,2,1,0,0.0,0,0,0.0,0,0,0,Jorelyn Carabalí,Brighton
12,0,0,0,2,22.22,2,40.0,0,0,75.0,4,28.57,111,0,1,3,6,0,0,0,3,0,0,0,0,0,11,0,39,1,0,0.0,3,100.0,0,1,3,0,2,0,1,0.0,0,0,0.0,0,0,0,Toni Duggan,Everton Women
13,0,0,0,1,50.0,0,0.0,1,0,64.29,1,50.0,40,0,1,0,3,0,0,0,1,0,0,0,0,0,2,0,9,0,0,0.0,0,0.0,0,1,0,0,0,0,0,0.0,0,1,0.0,0,0,0,Ava Baker,Leicester City WFC
14,0,1,0,2,28.57,2,50.0,1,0,86.21,4,36.36,128,0,3,1,3,0,0,0,3,1,0,0,0,0,0,0,25,0,0,0.0,2,100.0,1,8,1,1,2,0,0,0.0,0,0,0.0,0,0,0,Satara Melonie Murray,Bristol City WFC
15,0,1,0,17,45.95,1,25.0,1,0,78.75,18,43.9,439,2,8,3,6,0,0,0,10,1,0,0,0,0,23,1,126,2,4,57.14,2,28.57,8,4,7,0,2,2,0,0.0,0,0,0.0,0,0,0,Anouk Denton,West Ham Women
16,1,1,0,13,31.71,4,50.0,0,1,82.68,17,34.69,501,0,4,6,7,0,0,0,10,2,0,0,0,0,65,0,253,3,2,28.57,6,46.15,6,9,5,0,3,1,2,33.33,0,0,0.0,0,0,0,Mayumi Pacheco,Aston Villa WFC
17,0,0,0,8,40.0,1,100.0,3,0,55.0,9,42.86,154,1,3,3,7,0,0,0,3,0,0,0,0,0,6,0,22,0,0,0.0,0,0.0,1,2,1,1,2,1,0,0.0,0,0,0.0,0,0,0,Mari Ward,Bristol City WFC
18,1,0,0,27,58.7,3,30.0,5,0,55.56,30,53.57,596,7,2,4,8,0,0,0,11,6,0,0,0,0,21,0,85,1,4,36.36,4,13.33,12,19,12,0,2,2,0,50.0,0,0,0.0,0,0,0,Ella Powell,Bristol City WFC
