,,,,,,,,Total,Total,Total,Total,Total,Cortos,Cortos,Cortos,Medios,Medios,Medios,Largos,Largos,Largos,,,,,,,,,,,-additional
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Partidos,-9999
187,David de Gea,es ESP,PO,Manchester Utd,32-184,1990,34.0,788,1105,71.3,20626,14753,181,181,100.0,363,370,98.1,239,543,44.0,0,0.1,0.2,-0.1,1,6,1,0,0,Partidos,7ba6d84e
188,Joe Gelhardt,eng ENG,DL,Leeds United,21-006,2002,2.4,43,67,64.2,518,118,23,30,76.7,11,17,64.7,2,2,100.0,2,0.5,0.4,+1.5,2,3,1,0,6,Partidos,01962d0d
189,Saman Ghoddos,ir IRN,CCDF,Brentford,29-246,1993,1.5,54,73,74.0,886,265,29,32,90.6,19,23,82.6,6,17,35.3,0,0.4,0.3,-0.4,3,3,1,0,6,Partidos,f7b1d4e0
190,Morgan Gibbs-White,eng ENG,DLCC,Wolves,23-103,2000,2.0,75,95,78.9,1122,345,47,58,81.0,17,21,81.0,7,9,77.8,0,0.1,0.2,-0.1,1,10,1,0,12,Partidos,32f60ed8
191,Morgan Gibbs-White,eng ENG,CCDL,Nott'ham Forest,23-103,2000,30.0,626,1013,61.8,10077,3703,335,446,75.1,191,271,70.5,73,204,35.8,7,7.9,6.0,-0.9,62,69,40,5,129,Partidos,32f60ed8
192,Billy Gilmour,sct SCO,CC,Brighton,21-333,2001,3.8,271,298,90.9,4455,1103,130,140,92.9,115,120,95.8,21,29,72.4,0,0.1,0.6,-0.1,1,23,6,0,30,Partidos,df10e27c
193,Degnand Gnonto,it ITA,DLCC,Leeds United,19-186,2003,14.1,342,477,71.7,4425,1135,216,254,85.0,93,124,75.0,10,20,50.0,4,2.1,2.1,+1.9,20,12,16,4,32,Partidos,75fdd638
194,Ben Godfrey,eng ENG,DF,Everton,25-115,1998,8.9,182,281,64.8,3067,1252,90,111,81.1,73,111,65.8,16,41,39.0,1,0.2,0.1,+0.8,3,24,1,1,19,Partidos,9f7c837d
195,João Gomes,br BRA,CC,Wolves,22-087,2001,5.3,184,242,76.0,2732,638,105,123,85.4,64,87,73.6,9,17,52.9,0,0.2,0.1,-0.2,5,12,0,0,15,Partidos,8b57ad2c
196,Toti Gomes,pt POR,DF,Wolves,24-114,1999,9.0,355,434,81.8,6015,2142,161,191,84.3,165,185,89.2,23,47,48.9,0,0.2,0.2,-0.2,3,21,6,2,21,Partidos,f0caab96
197,Joe Gomez,eng ENG,DF,Liverpool,25-352,1997,15.3,1086,1275,85.2,21777,7062,311,352,88.4,640,697,91.8,118,187,63.1,0,0.2,0.7,-0.2,1,116,4,0,103,Partidos,7a11550b
198,Sergio Gómez,es ESP,DFCC,Manchester City,22-248,2000,1.9,133,153,86.9,1991,557,71,77,92.2,49,54,90.7,7,10,70.0,1,0.4,0.2,+0.6,2,13,2,0,10,Partidos,01e5f06e
199,Anthony Gordon,eng ENG,DLCC,Newcastle Utd,22-075,2001,4.4,144,175,82.3,1959,468,95,105,90.5,39,46,84.8,5,10,50.0,0,0.8,0.8,-0.8,5,11,4,0,14,Partidos,2bd83368
200,Anthony Gordon,eng ENG,DL,Everton,22-075,2001,12.2,193,280,68.9,2905,625,110,135,81.5,66,89,74.2,11,27,40.7,0,0.6,0.5,-0.6,8,8,11,2,19,Partidos,2bd83368
201,Demarai Gray,eng ENG,DLCC,Everton,26-316,1996,26.2,549,795,69.1,9298,2061,272,307,88.6,187,247,75.7,66,168,39.3,1,3.7,3.7,-2.7,35,30,17,6,45,Partidos,4468ec10
202,Jack Grealish,eng ENG,DL,Manchester City,27-242,1995,22.7,898,1067,84.2,13204,2574,537,586,91.6,293,335,87.5,41,66,62.1,7,7.0,6.7,0.0,50,28,48,2,100,Partidos,b0b4fd3e
203,Sam Greenwood,eng ENG,CCDL,Leeds United,21-104,2002,4.1,101,166,60.8,1848,837,52,60,86.7,26,50,52.0,20,50,40.0,2,1.1,1.0,+0.9,13,14,1,0,14,Partidos,f3354c07
204,Pascal Groß,de GER,CCDF,Brighton,31-329,1991,31.2,1661,2089,79.5,26765,7706,868,953,91.1,608,724,84.0,131,287,45.6,6,9.5,8.0,-3.5,71,138,62,12,232,Partidos,8aec0537
205,Vicente Guaita,es ESP,PO,Crystal Palace,36-120,1987,27.0,610,845,72.2,15748,10443,159,161,98.8,258,263,98.1,182,405,44.9,0,0.0,0.0,0.0,0,3,0,0,1,Partidos,ab13a5aa
206,Gonçalo Guedes,pt POR,DLCC,Wolves,26-162,1996,7.9,138,201,68.7,2297,526,82,97,84.5,40,56,71.4,13,26,50.0,1,0.5,0.5,+0.5,9,11,8,2,16,Partidos,e6bc67d7
207,Marc Guéhi,eng ENG,DF,Crystal Palace,22-301,2000,34.0,1658,1954,84.9,33733,12812,509,557,91.4,956,1029,92.9,184,339,54.3,0,0.3,0.6,-0.3,8,124,2,0,95,Partidos,d0706b27
208,Bruno Guimarães,br BRA,CC,Newcastle Utd,25-175,1997,26.3,1177,1421,82.8,20569,5732,558,629,88.7,447,515,86.8,134,189,70.9,5,3.8,3.3,+1.2,36,125,40,2,184,Partidos,82518f62
209,İlkay Gündoğan,de GER,CC,Manchester City,32-198,1990,24.3,1259,1451,86.8,19645,4592,677,745,90.9,458,508,90.2,89,118,75.4,3,3.0,4.0,0.0,34,136,35,1,164,Partidos,819b3158
210,Darko Gyabi,eng ENG,DL,Leeds United,19-081,2004,0.1,4,4,100.0,72,17,1,1,100.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,2,Partidos,56d838f7
211,Erling Haaland,no NOR,DL,Manchester City,22-293,2000,28.7,341,471,72.4,4180,887,204,256,79.7,98,130,75.4,6,8,75.0,7,4.8,2.9,+2.2,27,14,22,0,57,Partidos,1f44ac21
212,Lewis Hall,eng ENG,DFCC,Chelsea,18-244,2004,3.4,147,195,75.4,2592,748,79,92,85.9,52,68,76.5,16,26,61.5,0,0.3,0.2,-0.3,4,10,3,1,9,Partidos,da011f18
213,Luke Harris,wls WAL,CCDL,Fulham,18-037,2005,0.1,13,14,92.9,172,25,9,9,100.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Partidos,8c3078cd
214,Jack Harrison,eng ENG,DLCC,Leeds United,26-171,1996,27.7,672,1064,63.2,9749,3698,405,503,80.5,176,294,59.9,52,148,35.1,7,4.9,4.7,+2.1,50,48,43,16,90,Partidos,aa849a12
215,Kai Havertz,de GER,DLCC,Chelsea,23-333,1999,26.1,643,798,80.6,8163,1582,407,487,83.6,171,193,88.6,19,26,73.1,1,3.4,2.5,-2.4,35,43,23,2,75,Partidos,fed7cb61
216,Jan Paul van Hecke,nl NED,DF,Brighton,22-336,2000,1.0,96,101,95.0,1944,477,21,22,95.5,70,72,97.2,5,6,83.3,0,0.0,0.0,0.0,0,13,0,0,10,Partidos,4fd08daa
217,Hwang Hee-chan,kr KOR,DLCC,Wolves,27-104,1996,10.5,173,229,75.5,2469,533,103,124,83.1,55,68,80.9,8,12,66.7,1,1.0,0.5,0.0,9,8,7,1,23,Partidos,169fd162
218,Dean Henderson,eng ENG,PO,Nott'ham Forest,26-059,1997,18.0,425,671,63.3,12543,8838,80,80,100.0,186,188,98.9,159,400,39.8,0,0.0,0.0,0.0,0,11,1,0,0,Partidos,e5a76dfe
219,Jordan Henderson,eng ENG,CC,Liverpool,32-327,1990,21.1,1232,1487,82.9,20581,5442,613,675,90.8,471,547,86.1,112,179,62.6,2,2.9,3.2,-0.9,27,146,42,10,175,Partidos,935e6b8f
220,Wayne Hennessey,wls WAL,PO,Nott'ham Forest,36-106,1987,2.0,45,56,80.4,1510,1133,3,3,100.0,22,22,100.0,20,31,64.5,0,0.0,0.0,0.0,0,2,0,0,0,Partidos,76eca7e2
221,Rico Henry,eng ENG,DF,Brentford,25-306,1997,33.0,776,1079,71.9,12379,4298,419,490,85.5,272,369,73.7,64,150,42.7,2,2.5,2.6,-0.5,21,67,34,12,98,Partidos,8a3c1dc7
222,Son Heung-min,kr KOR,CCDL,Tottenham,30-306,1992,29.3,607,827,73.4,8323,2303,367,432,85.0,167,223,74.9,33,84,39.3,5,5.6,3.9,-0.6,55,30,30,5,73,Partidos,92e7e919
223,Aaron Hickey,sct SCO,DF,Brentford,20-334,2002,18.6,600,726,82.6,9326,2792,332,368,90.2,223,261,85.4,35,66,53.0,0,0.2,0.5,-0.2,3,56,11,4,74,Partidos,1780bb4a
224,Joseph Hodge,ie IRL,CC,Wolves,20-238,2002,1.9,69,87,79.3,1067,354,41,45,91.1,19,22,86.4,5,7,71.4,0,0.1,0.0,-0.1,1,7,1,0,7,Partidos,bd8a5d95
225,Rob Holding,eng ENG,DF,Arsenal,27-232,1995,6.3,382,442,86.4,7494,2701,141,152,92.8,191,207,92.3,46,69,66.7,0,0.0,0.1,0.0,0,23,1,0,24,Partidos,d79a8c87
226,Mason Holgate,eng ENG,DF,Everton,26-200,1996,4.9,135,201,67.2,2641,764,50,61,82.0,64,79,81.0,19,52,36.5,0,0.3,0.2,-0.3,5,11,2,1,12,Partidos,d0042ab9
227,Will Hughes,eng ENG,CC,Crystal Palace,28-023,1995,6.5,210,273,76.9,2959,896,124,143,86.7,69,89,77.5,10,22,45.5,1,0.9,0.5,+0.1,5,19,5,0,22,Partidos,a0666d3e
228,Omari Hutchinson,eng ENG,DL,Chelsea,19-192,2003,0.3,8,12,66.7,109,4,6,7,85.7,1,1,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Partidos,bd9553e6
229,Pierre Højbjerg,dk DEN,CC,Tottenham,27-278,1995,33.8,1974,2238,88.2,35517,9522,873,946,92.3,798,876,91.1,237,308,76.9,5,2.8,3.1,+2.2,29,204,34,5,232,Partidos,8b04d6c1
230,Kelechi Iheanacho,ng NGA,DLCC,Leicester City,26-219,1996,11.2,200,278,71.9,2629,562,135,167,80.8,43,55,78.2,10,21,47.6,4,3.5,1.7,+0.5,18,18,8,0,24,Partidos,c92e1a31
231,Danny Ings,eng ENG,DL,West Ham,30-291,1992,6.4,57,93,61.3,677,184,38,56,67.9,8,14,57.1,3,9,33.3,0,0.2,0.2,-0.2,2,7,0,0,6,Partidos,07802f7f
232,Danny Ings,eng ENG,DL,Aston Villa,30-291,1992,9.2,114,162,70.4,1371,289,76,97,78.4,27,34,79.4,3,12,25.0,0,1.2,0.6,-1.2,9,7,4,0,12,Partidos,07802f7f
233,Alexander Isak,se SWE,DL,Newcastle Utd,23-231,1999,13.0,197,265,74.3,3123,734,102,135,75.6,63,77,81.8,19,22,86.4,1,2.1,1.2,-1.1,15,25,12,0,35,Partidos,8e92be30
234,Daniel Iversen,dk DEN,PO,Leicester City,25-295,1997,9.0,164,283,58.0,3842,2612,56,56,100.0,75,76,98.7,32,147,21.8,0,0.0,0.0,0.0,0,4,0,0,0,Partidos,10d221cd
235,Alex Iwobi,ng NGA,CCDL,Everton,27-007,1996,34.5,1070,1425,75.1,18779,6145,509,604,84.3,398,507,78.5,127,206,61.7,7,5.9,4.0,+1.1,61,125,57,14,178,Partidos,6ca5ec4b
236,Daniel James,wls WAL,DL,Leeds United,25-181,1997,2.2,24,40,60.0,256,66,18,22,81.8,5,10,50.0,0,3,0.0,0,0.3,0.3,-0.3,1,1,3,1,3,Partidos,c931d9f9
237,Daniel James,wls WAL,DL,Fulham,25-181,1997,6.8,117,183,63.9,1490,303,79,96,82.3,26,43,60.5,3,12,25.0,1,0.7,0.4,+0.3,7,2,7,2,15,Partidos,c931d9f9
238,Reece James,eng ENG,DFCC,Chelsea,23-153,1999,13.8,891,1051,84.8,14345,4119,468,499,93.8,337,395,85.3,67,109,61.5,1,3.0,2.9,-2.0,21,60,24,6,90,Partidos,1265a93a
239,Vitaly Janelt,de GER,CCDF,Brentford,25-000,1998,21.5,706,899,78.5,12417,3567,361,413,87.4,248,305,81.3,85,130,65.4,1,1.3,1.3,-0.3,14,65,17,7,76,Partidos,8449d35e
240,Pontus Jansson,se SWE,DF,Brentford,32-086,1991,8.0,257,321,80.1,5004,1738,81,98,82.7,147,167,88.0,28,45,62.2,0,0.0,0.1,0.0,0,11,0,0,14,Partidos,172e52d8
241,Mathias Jensen,dk DEN,CC,Brentford,27-129,1996,29.6,1005,1458,68.9,20017,7760,439,525,83.6,360,507,71.0,179,349,51.3,5,4.5,4.5,+0.5,45,107,36,16,129,Partidos,0f134faf
242,Gabriel Jesus,br BRA,DL,Arsenal,26-037,1997,20.1,500,621,80.5,7569,1517,266,312,85.3,182,207,87.9,26,41,63.4,5,3.3,2.4,+1.7,27,29,20,1,59,Partidos,b66315ae
243,Raúl Jiménez,mx MEX,DL,Wolves,32-005,1991,8.3,122,172,70.9,1602,337,79,100,79.0,27,40,67.5,8,15,53.3,1,1.7,0.5,-0.7,8,8,7,1,13,Partidos,b561db50
244,Joelinton,br BRA,CCDL,Newcastle Utd,26-269,1996,27.6,971,1188,81.7,14272,3776,544,624,87.2,321,371,86.5,55,70,78.6,1,2.3,1.8,-1.3,24,75,18,3,119,Partidos,c17bfb65
245,Ben Johnson,eng ENG,DF,West Ham,23-106,2000,8.6,355,481,73.8,6255,2265,158,182,86.8,159,193,82.4,31,78,39.7,0,0.2,0.4,-0.2,3,24,9,4,37,Partidos,9319781b
246,Brennan Johnson,wls WAL,DLCC,Nott'ham Forest,21-352,2001,31.4,283,491,57.6,4103,808,151,216,69.9,99,172,57.6,15,34,44.1,3,3.2,1.9,-0.2,28,12,18,6,30,Partidos,0cd31129
247,Sam Johnstone,eng ENG,PO,Crystal Palace,30-046,1993,6.0,141,199,70.9,3637,2351,24,24,100.0,80,81,98.8,37,93,39.8,0,0.0,0.0,0.0,0,2,0,0,0,Partidos,9e5708be
248,Curtis Jones,eng ENG,CC,Liverpool,22-100,2001,9.3,489,544,89.9,7267,1548,271,290,93.4,184,195,94.4,20,26,76.9,1,0.9,1.1,+0.1,10,40,11,1,56,Partidos,4fb9c88f
249,Jorginho,it ITA,CC,Arsenal,31-141,1991,6.8,453,526,86.1,7475,2182,204,227,89.9,204,228,89.5,32,46,69.6,1,0.2,0.5,+0.8,5,54,10,0,70,Partidos,45db685d
250,Jorginho,it ITA,CC,Chelsea,31-141,1991,14.2,749,884,84.7,11991,3508,379,421,90.0,301,348,86.5,51,74,68.9,0,0.4,0.4,-0.4,7,87,9,0,80,Partidos,45db685d
251,Mateo Joseph,eng ENG,DLCC,Leeds United,19-203,2003,0.3,2,3,66.7,13,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Partidos,6ad43f9a
252,Diogo Jota,pt POR,DL,Liverpool,26-157,1996,11.1,252,340,74.1,3375,777,155,195,79.5,71,92,77.2,9,18,50.0,4,2.1,1.6,+1.9,17,25,7,1,28,Partidos,178ae8f8
253,Hamed Junior Traorè,ci CIV,DLCC,Bournemouth,23-083,2000,4.7,109,178,61.2,1850,775,55,72,76.4,35,56,62.5,13,33,39.4,0,1.1,1.1,-1.1,14,11,10,3,26,Partidos,570bb4b9
254,James Justin,eng ENG,DF,Leicester City,25-076,1998,13.9,667,819,81.4,10404,3063,371,408,90.9,239,282,84.8,39,81,48.1,0,0.3,0.5,-0.3,7,48,12,7,47,Partidos,fb614c44
255,Mathias Jørgensen,dk DEN,DF,Brentford,33-017,1990,11.1,359,453,79.2,6109,2756,161,182,88.5,176,217,81.1,17,44,38.6,0,0.1,0.1,-0.1,1,29,0,0,33,Partidos,0db5d2c8
256,Sasa Kalajdzic,at AUT,DL,Wolves,25-307,1997,0.5,2,4,50.0,26,0,1,2,50.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Partidos,15f24fe7
257,Boubacar Kamara,fr FRA,CC,Aston Villa,23-168,1999,17.5,747,881,84.8,12309,3633,370,413,89.6,280,308,90.9,65,91,71.4,1,0.8,0.7,+0.2,7,58,6,0,80,Partidos,cc77354e
258,Harry Kane,eng ENG,DL,Tottenham,29-286,1993,34.8,579,833,69.5,11062,3983,263,338,77.8,206,263,78.3,93,150,62.0,3,6.8,3.8,-3.8,55,90,46,6,169,Partidos,21a66f6a
259,N'Golo Kanté,fr FRA,CC,Chelsea,32-042,1991,5.8,271,338,80.2,3935,1033,168,190,88.4,84,100,84.0,12,24,50.0,1,1.9,0.8,-0.9,13,23,11,3,34,Partidos,b9fbae28
260,Michael Keane,eng ENG,DF,Everton,30-119,1993,10.3,276,399,69.2,5372,2703,97,125,77.6,139,168,82.7,37,87,42.5,1,0.3,0.2,+0.7,2,30,0,0,27,Partidos,c5b7c315
261,Neeskens Kebano,cd COD,DL,Fulham,31-061,1992,8.3,153,208,73.6,2061,515,91,104,87.5,43,58,74.1,6,12,50.0,3,1.5,0.9,+1.5,13,2,9,3,24,Partidos,18b999f4
262,Thilo Kehrer,de GER,DF,West Ham,26-231,1996,23.3,856,1033,82.9,15010,5473,367,419,87.6,417,469,88.9,62,111,55.9,2,0.6,0.8,+1.4,8,55,4,1,56,Partidos,51dbeea9
263,Naby Keïta,gn GUI,CC,Liverpool,28-089,1995,3.3,129,168,76.8,1820,590,75,87,86.2,43,54,79.6,6,8,75.0,0,0.7,0.2,-0.7,8,15,2,0,15,Partidos,f25c8e3a
264,Lloyd Kelly,eng ENG,DF,Bournemouth,24-216,1998,19.7,773,967,79.9,14687,6064,278,309,90.0,393,437,89.9,87,185,47.0,2,0.4,0.7,+1.6,6,66,7,2,39,Partidos,f31def1e
265,Max Kilman,eng ENG,DF,Wolves,25-352,1997,35.0,1659,1996,83.1,32888,11716,548,594,92.3,912,988,92.3,179,362,49.4,0,0.1,0.6,-0.1,2,126,7,2,118,Partidos,d0f72bf1
266,Jakub Kiwior,pl POL,DF,Arsenal,23-084,2000,2.2,84,93,90.3,1521,427,23,24,95.8,52,54,96.3,6,10,60.0,0,0.0,0.0,0.0,0,1,0,0,1,Partidos,dc3e663e
267,Mateusz Klich,pl POL,CCDL,Leeds United,32-331,1990,3.1,108,148,73.0,1411,387,61,69,88.4,28,34,82.4,5,17,29.4,0,0.2,0.2,-0.2,5,6,5,0,16,Partidos,282679b4
268,Robin Koch,de GER,DF,Leeds United,26-297,1996,32.3,1161,1502,77.3,22672,10245,372,441,84.4,646,745,86.7,129,267,48.3,0,0.1,0.3,-0.1,2,109,5,0,97,Partidos,ea6bc03a
269,Ibrahima Konaté,fr FRA,DF,Liverpool,23-350,1999,15.2,891,1016,87.7,15915,6299,347,381,91.1,476,519,91.7,53,95,55.8,0,0.1,0.7,-0.1,1,47,2,0,51,Partidos,5ed9b537
270,Ezri Konsa,eng ENG,DF,Aston Villa,25-199,1997,33.9,1578,1783,88.5,28817,9727,571,623,91.7,881,939,93.8,112,187,59.9,0,1.3,0.7,-1.3,8,68,4,2,54,Partidos,0313a347
271,Kalidou Koulibaly,sn SEN,DF,Chelsea,31-324,1991,19.9,1270,1465,86.7,22340,8984,561,595,94.3,593,650,91.2,96,175,54.9,1,0.4,0.4,+0.6,7,83,9,1,81,Partidos,da974c7b
272,Cheikhou Kouyaté,sn SEN,CC,Nott'ham Forest,33-140,1989,9.3,174,233,74.7,2696,763,87,117,74.4,55,66,83.3,17,23,73.9,0,0.7,0.3,-0.7,6,11,2,0,18,Partidos,8d3c902d
273,Mateo Kovačić,hr CRO,CC,Chelsea,29-004,1994,18.2,1086,1267,85.7,17889,5439,529,586,90.3,453,502,90.2,75,118,63.6,2,2.1,2.0,-0.1,23,151,23,1,150,Partidos,79c0821a
274,Emil Krafth,se SWE,DF,Newcastle Utd,28-281,1994,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Partidos,77cf6852
275,Dejan Kulusevski,se SWE,CCDL,Tottenham,23-015,2000,21.1,532,681,78.1,7460,1830,321,374,85.8,165,205,80.5,24,47,51.1,6,4.1,4.5,+1.9,41,14,32,11,59,Partidos,df3cda47
276,Layvin Kurzawa,fr FRA,DF,Fulham,30-248,1992,1.5,28,41,68.3,408,135,12,13,92.3,14,19,73.7,0,3,0.0,0,0.0,0.0,0.0,0,1,1,1,2,Partidos,41e7ef1c
277,Adam Lallana,eng ENG,CCDL,Brighton,35-000,1988,8.0,262,317,82.6,3033,656,173,194,89.2,57,74,77.0,6,9,66.7,1,1.0,1.2,0.0,14,23,9,1,33,Partidos,99813635
278,Tariq Lamptey,gh GHA,DF,Brighton,22-222,2000,5.0,239,302,79.1,3509,854,130,149,87.2,96,116,82.8,5,21,23.8,0,0.2,0.7,-0.2,4,14,8,5,26,Partidos,f4e433d4
279,Manuel Lanzini,ar ARG,CCDL,West Ham,30-084,1993,1.7,83,100,83.0,1280,295,42,50,84.0,32,35,91.4,5,9,55.6,0,0.0,0.1,0.0,0,7,2,0,14,Partidos,26f6dca8
280,Aymeric Laporte,es ESP,DF,Manchester City,28-348,1994,8.2,651,704,92.5,10514,3144,339,356,95.2,264,281,94.0,38,51,74.5,0,0.2,0.4,-0.2,4,65,6,0,66,Partidos,119b9a8e
281,Juan Larios,es ESP,DF,Southampton,19-118,2004,1.7,63,82,76.8,881,326,40,46,87.0,21,27,77.8,2,4,50.0,0,0.0,0.0,0.0,0,5,0,0,4,Partidos,cf7fb13a
282,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,29-180,1993,2.4,79,93,84.9,1445,580,29,34,85.3,40,44,90.9,7,11,63.6,0,0.0,0.0,0.0,0,4,0,0,3,Partidos,450ab6fc
283,Roméo Lavia,be BEL,CC,Southampton,19-124,2004,22.1,786,913,86.1,13640,3643,349,386,90.4,359,392,91.6,64,87,73.6,0,0.6,0.6,-0.6,16,92,9,0,97,Partidos,ecad9aa5
284,Dexter Lembikisa,jm JAM,DF,Wolves,19-187,2003,0.3,10,13,76.9,180,73,5,5,100.0,5,5,100.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,3,Partidos,0bdda685
285,Mario Lemina,ga GAB,CC,Wolves,29-251,1993,12.4,465,539,86.3,8229,2304,201,225,89.3,214,233,91.8,43,61,70.5,1,0.3,0.4,+0.7,3,29,5,1,38,Partidos,2b471f99
286,Clément Lenglet,fr FRA,DF,Tottenham,27-327,1995,19.4,1101,1265,87.0,20453,7365,420,433,97.0,554,609,91.0,110,186,59.1,2,0.6,0.8,+1.4,6,70,10,5,76,Partidos,4f28a6ff
287,Bernd Leno,de GER,PO,Fulham,31-067,1992,33.0,984,1251,78.7,24128,14673,207,207,100.0,570,574,99.3,205,466,44.0,0,0.0,0.0,0.0,1,11,0,0,0,Partidos,2628fd2b
288,Jefferson Lerma,co COL,CC,Bournemouth,28-197,1994,33.1,1180,1453,81.2,18519,6653,609,698,87.2,466,538,86.6,68,135,50.4,0,2.2,2.9,-2.2,17,114,23,2,132,Partidos,9b5ce51a
289,Jamal Lewis,nir NIR,DF,Newcastle Utd,25-105,1998,0.1,10,12,83.3,163,71,2,2,100.0,7,8,87.5,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Partidos,efb9215a
290,Rico Lewis,eng ENG,DFCC,Manchester City,18-170,2004,7.0,478,518,92.3,6956,1135,290,304,95.4,162,173,93.6,15,19,78.9,0,1.2,1.2,-1.2,8,33,8,3,42,Partidos,b57e066e
291,Keane Lewis-Potter,eng ENG,DLCC,Brentford,22-077,2001,3.6,49,86,57.0,600,118,33,50,66.0,12,17,70.6,1,10,10.0,1,1.2,0.3,-0.2,5,2,3,1,6,Partidos,41f08ac8
292,Victor Lindelöf,se SWE,DF,Manchester Utd,28-297,1994,11.2,657,707,92.9,11770,3669,224,240,93.3,382,394,97.0,39,57,68.4,0,0.0,0.1,0.0,0,26,1,0,27,Partidos,f5deef4c
293,Jesse Lingard,eng ENG,DLCC,Nott'ham Forest,30-146,1992,10.3,236,297,79.5,3558,897,121,137,88.3,88,104,84.6,14,28,50.0,0,0.7,0.5,-0.7,11,27,7,1,33,Partidos,810e3c74
294,Diego Llorente,es ESP,DF,Leeds United,29-267,1993,7.2,356,429,83.0,6969,2284,118,130,90.8,203,228,89.0,33,59,55.9,0,0.0,0.0,0.0,0,17,0,0,27,Partidos,bba30585
295,Hugo Lloris,fr FRA,PO,Tottenham,36-135,1986,24.5,561,728,77.1,13442,8398,174,177,98.3,241,242,99.6,146,305,47.9,0,0.0,0.0,0.0,0,13,0,0,0,Partidos,8f62b6ee
296,Renan Lodi,br BRA,DF,Nott'ham Forest,25-032,1998,22.1,556,829,67.1,9657,3220,262,311,84.2,233,325,71.7,50,143,35.0,0,0.7,0.9,-0.7,9,25,13,7,30,Partidos,ed9f7cfe
297,Ruben Loftus-Cheek,eng ENG,CCDF,Chelsea,27-107,1996,14.9,678,798,85.0,10036,2518,407,458,88.9,229,256,89.5,29,37,78.4,0,1.3,1.6,-1.3,12,69,14,1,74,Partidos,e97fd090
298,Sean Longstaff,eng ENG,CC,Newcastle Utd,25-192,1997,27.0,899,1113,80.8,14770,4111,449,515,87.2,344,397,86.6,76,124,61.3,4,3.3,2.5,+0.7,22,77,20,5,112,Partidos,a2b105e0
299,Jamal Lowe,jm JAM,CCDL,Bournemouth,28-293,1994,0.1,2,4,50.0,18,3,1,1,100.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,1,0,1,Partidos,b2856bc0
300,Douglas Luiz,br BRA,CC,Aston Villa,25-001,1998,29.6,1370,1657,82.7,24146,5767,567,630,90.0,605,697,86.8,141,246,57.3,5,3.8,2.6,+1.2,40,105,17,3,131,Partidos,6f7d826d
301,Saša Lukić,rs SRB,CC,Fulham,26-270,1996,3.7,164,187,87.7,2747,529,72,80,90.0,81,89,91.0,10,14,71.4,0,0.0,0.1,0.0,0,18,1,0,11,Partidos,c6e8cf1f
302,Lyanco,br BRA,DF,Southampton,26-098,1997,10.1,320,456,70.2,6075,2177,119,138,86.2,155,205,75.6,35,93,37.6,0,0.4,0.1,-0.4,3,29,3,1,31,Partidos,b5bf1770
303,Alexis Mac Allister,ar ARG,CC,Brighton,24-137,1998,28.2,1415,1640,86.3,22419,5585,755,827,91.3,527,579,91.0,94,134,70.1,1,3.7,3.9,-2.7,38,134,28,1,155,Partidos,83d074ff
304,James Maddison,eng ENG,CCDL,Leicester City,26-168,1996,25.1,771,1049,73.5,13211,4002,375,435,86.2,283,372,76.1,86,169,50.9,9,9.2,5.5,-0.2,67,108,26,3,144,Partidos,ee38d9c5
305,Noni Madueke,eng ENG,DL,Chelsea,21-061,2002,4.2,134,173,77.5,1778,420,82,96,85.4,40,53,75.5,5,8,62.5,0,0.3,0.3,-0.3,7,7,7,0,21,Partidos,bf34eebd
306,Harry Maguire,eng ENG,DF,Manchester Utd,30-066,1993,7.4,439,514,85.4,8864,2656,134,148,90.5,243,269,90.3,55,87,63.2,0,0.0,0.1,0.0,1,29,0,0,24,Partidos,d8931174
307,Riyad Mahrez,dz ALG,DLCC,Manchester City,32-078,1991,17.5,828,1001,82.7,13762,2381,425,474,89.7,317,369,85.9,73,120,60.8,9,6.5,4.7,+2.5,45,34,30,6,66,Partidos,892d5bb1
308,Kobbie Mainoo,eng ENG,CC,Manchester Utd,18-021,2005,0.1,7,8,87.5,83,31,5,6,83.3,2,2,100.0,0,0,,0,0.0,0.1,0.0,0,1,1,0,1,Partidos,c6220452
309,Ainsley Maitland-Niles,eng ENG,DFCC,Southampton,25-254,1997,14.7,542,686,79.0,9011,3124,270,313,86.3,210,254,82.7,49,82,59.8,0,0.7,0.7,-0.7,10,52,12,5,55,Partidos,e3a5814e
