,,,,,,,,Total,Total,Total,Total,Total,Cortos,Cortos,Cortos,Medios,Medios,Medios,Largos,Largos,Largos,,,,,,,,,,,-additional
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Partidos,-9999
11,Marc Albrighton,eng ENG,DLCC,Leicester City,33-173,1989,2.6,89,148,60.1,1440,551,48,60,80.0,23,34,67.6,12,34,35.3,0,0.9,0.4,-0.9,6,6,5,2,7,Partidos,b827d5b3
12,Thiago Alcántara,es ESP,CC,Liverpool,32-029,1991,13.9,946,1097,86.2,17219,4988,433,466,92.9,346,392,88.3,136,172,79.1,0,1.1,1.3,-1.1,17,110,20,1,120,Partidos,77e84962
13,Carlos Alcaraz,ar ARG,CCDL,Southampton,20-161,2002,8.9,173,227,76.2,2422,534,95,113,84.1,60,70,85.7,5,16,31.3,1,0.5,0.5,+0.5,3,15,5,0,22,Partidos,4abac767
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-215,1998,29.5,1972,2620,75.3,37214,14556,908,1018,89.2,738,941,78.4,293,570,51.4,8,10.0,8.1,-2.0,64,211,71,23,213,Partidos,cd1acf9d
15,Alisson,br BRA,PO,Liverpool,30-220,1992,35.0,1182,1390,85.0,27631,17776,292,294,99.3,622,631,98.6,264,456,57.9,1,0.3,0.0,+0.7,1,14,0,0,3,Partidos,7a2e46a8
16,Dele Alli,eng ENG,CC,Everton,27-029,1996,0.4,12,15,80.0,123,10,6,8,75.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,1,Partidos,cea4ee8f
17,Miguel Almirón,py PAR,DL,Newcastle Utd,29-089,1994,23.9,703,853,82.4,9459,2363,440,488,90.2,199,247,80.6,26,36,72.2,1,1.8,2.3,-0.8,21,41,26,3,109,Partidos,862a1c15
18,Julián Álvarez,ar ARG,DLCC,Manchester City,23-099,2000,12.9,311,400,77.8,4308,730,183,217,84.3,84,107,78.5,20,32,62.5,0,1.5,1.1,-1.5,14,21,11,2,34,Partidos,15ab5a2b
19,Daniel Amartey,gh GHA,DF,Leicester City,28-140,1994,17.9,1015,1114,91.1,17506,6591,442,473,93.4,498,526,94.7,62,91,68.1,0,0.5,0.4,-0.5,5,58,1,0,66,Partidos,1a4ef233
20,Joachim Andersen,dk DEN,DF,Crystal Palace,26-344,1996,27.9,1333,1702,78.3,31401,12127,297,337,88.1,778,852,91.3,252,479,52.6,0,1.1,0.7,-1.1,10,117,7,1,86,Partidos,e34fc66d
